sku,product_name,category,supplier,stock_quantity,sales_speed_per_day,expiry_date,warehouse_location,price_rub,reorder_point
JFI-000040,Молоток C-230,Инструменты,Компания 'Логистик',770,5.0,NULL,Ряд 3-Стеллаж 31,1018.2,120
QUQ-000041,Ноутбук Pro-717,Электроника,Группа 'Мегаполис',204,2.0,NULL,Ряд 5-Стеллаж 31,33489.47,50
GJP-000042,Фантастика Max-930,Книги,Торговый дом 'Восточный',117,2.0,2026-08-15,Ряд 4-Стеллаж 38,1332.64,32
YKS-000043,Кроссовки A-356,Одежда,ИП Петрова,707,2.0,2027-06-14,Ряд 10-Стеллаж 44,30040.56,20
NRB-000044,Игрушка Pro-181,Зоотовары,ООО 'ИмпортТрейд',12,2.0,NULL,Ряд 12-Стеллаж 41,44584.17,42
TZH-000045,Гантели Pro-584,Спорттовары,ТД 'Универсал',476,0.5,2029-12-21,Ряд 8-Стеллаж 6,13982.47,10
PJA-000046,Степлер A-530,Канцтовары,ИП Иванов,499,0.1,2028-02-13,Ряд 9-Стеллаж 39,35074.13,1
YCS-000047,Аккумулятор Max-250,Автотовары,ООО 'ОптТорг',776,0.1,2030-12-01,Ряд 15-Стеллаж 2,4698.01,1
HPM-000048,Гантели C-123,Спорттовары,ООО 'ИмпортТрейд',435,10.0,2030-09-16,Ряд 9-Стеллаж 20,12607.61,100
TYR-000049,Мыло B-370,Бытовая химия,Группа 'Мегаполис',756,0.5,2031-02-08,Ряд 20-Стеллаж 19,49026.51,6
EAN-000050,Крем A-588,Косметика,ООО 'Поставщик+',997,0.1,2029-02-13,Ряд 5-Стеллаж 41,43429.64,2
HMI-000051,Смартфон B-153,Электроника,Компания 'Логистик',963,2.0,2030-05-30,Ряд 16-Стеллаж 5,28872.21,56
VYC-000052,Мыло Lite-440,Бытовая химия,АО 'Торговый дом',571,2.0,2029-06-06,Ряд 17-Стеллаж 25,22553.2,42
HQP-000053,Роман B-3,Книги,АО 'Торговый дом',970,2.0,NULL,Ряд 3-Стеллаж 11,12031.27,48
KRM-000054,Монитор Max-824,Электроника,Группа 'Мегаполис',295,1.0,2028-07-24,Ряд 8-Стеллаж 17,39402.01,27
YLO-000055,Лоток C-450,Зоотовары,ИП Иванов,930,0.1,2026-04-14,Ряд 2-Стеллаж 11,39641.8,2
DRS-000056,Духи Max-857,Косметика,ООО 'ОптТорг',552,0.5,2030-08-02,Ряд 11-Стеллаж 39,12555.88,4
WPA-000057,Игрушка Lite-447,Зоотовары,Компания 'Логистик',590,0.1,2026-11-04,Ряд 17-Стеллаж 42,22139.36,1
QMC-000058,Папка Lite-38,Канцтовары,АО 'РегионСнаб',341,0.5,2030-01-05,Ряд 14-Стеллаж 45,24798.68,14
LII-000059,Ключ Pro-641,Инструменты,ООО 'ОптТорг',844,10.0,2030-10-03,Ряд 14-Стеллаж 4,9419.75,180
LBG-000060,Кофе A-566,Продукты питания,Компания 'Логистик',448,2.0,NULL,Ряд 20-Стеллаж 16,35503.65,32
KFV-000061,Платье Pro-250,Одежда,ТД 'Универсал',969,0.1,2026-11-19,Ряд 10-Стеллаж 33,35285.31,2
LDE-000062,Посуда A-290,Товары для дома,ООО 'ОптТорг',764,2.0,NULL,Ряд 14-Стеллаж 22,46715.71,46
SVP-000063,Поводок B-715,Зоотовары,ТД 'Универсал',886,0.1,2030-01-10,Ряд 18-Стеллаж 49,27194.33,2
GJW-000064,Отвертка Pro-988,Инструменты,ООО 'Поставщик+',325,1.0,2030-04-20,Ряд 13-Стеллаж 43,39630.06,27
ANP-000065,Футболка Pro-801,Одежда,ТД 'Универсал',102,0.5,NULL,Ряд 5-Стеллаж 27,43553.1,5
ZIS-000066,Лоток A-633,Зоотовары,АО 'Торговый дом',872,0.5,2030-04-18,Ряд 11-Стеллаж 41,35949.94,11
BQX-000067,Стиральный порошок C-816,Бытовая химия,Торговый дом 'Восточный',92,0.5,2028-09-22,Ряд 15-Стеллаж 11,34715.36,3
BJL-000068,Моющее средство Pro-935,Бытовая химия,ООО 'ОптТорг',421,1.0,2026-06-04,Ряд 6-Стеллаж 6,30494.11,19
PGQ-000069,Шина Max-986,Автотовары,Компания 'Логистик',682,0.1,2029-01-18,Ряд 3-Стеллаж 29,47264.52,2
LGV-000070,Мыло A-850,Бытовая химия,АО 'РегионСнаб',873,0.5,2028-03-26,Ряд 19-Стеллаж 23,28761.86,14
RHO-000071,Игрушка Lite-257,Зоотовары,Торговый дом 'Восточный',996,0.1,2029-10-08,Ряд 8-Стеллаж 39,40106.5,1
RSR-000072,Крупа A-932,Продукты питания,ЗАО 'СкладСервис',99,5.0,NULL,Ряд 15-Стеллаж 3,28999.71,150
HTE-000073,Макароны Max-892,Продукты питания,ООО 'ОптТорг',897,5.0,2029-09-10,Ряд 6-Стеллаж 17,45706.75,110
ICZ-000074,Консервы Pro-378,Продукты питания,Группа 'Мегаполис',880,1.0,2030-03-20,Ряд 3-Стеллаж 26,745.24,24
RRP-000075,Корм Max-844,Зоотовары,ООО 'ИмпортТрейд',110,1.0,NULL,Ряд 18-Стеллаж 21,45767.03,14
MSQ-000076,Джинсы Pro-465,Одежда,ИП Иванов,46,5.0,2028-07-18,Ряд 4-Стеллаж 7,11778.26,120
JYS-000077,Мяч Max-380,Спорттовары,АО 'РегионСнаб',601,1.0,2026-10-07,Ряд 4-Стеллаж 32,30801.83,15
FLG-000078,Ручка Max-218,Канцтовары,АО 'Торговый дом',702,0.5,2030-05-25,Ряд 9-Стеллаж 13,48411.93,10
QPA-000079,Бумага B-808,Канцтовары,Группа 'Мегаполис',128,2.0,2027-05-11,Ряд 18-Стеллаж 14,29339.84,28
XAW-000080,Кофе C-17,Продукты питания,ИП Иванов,553,0.1,2026-05-04,Ряд 1-Стеллаж 9,792.27,1
EBT-000081,Лыжи A-745,Спорттовары,АО 'Торговый дом',763,0.1,2031-01-16,Ряд 19-Стеллаж 7,22627.67,1
UWN-000082,Масло A-330,Автотовары,ЗАО 'СкладСервис',987,0.1,2030-07-22,Ряд 4-Стеллаж 32,35634.45,2
PBH-000083,Корм Max-118,Зоотовары,ИП Петрова,561,1.0,2031-02-20,Ряд 10-Стеллаж 30,25302.28,20
WQT-000084,Роман C-438,Книги,Группа 'Мегаполис',440,0.5,2028-04-28,Ряд 11-Стеллаж 30,19966.57,15
IGY-000085,Лоток A-601,Зоотовары,ТД 'Универсал',68,0.1,NULL,Ряд 4-Стеллаж 48,36952.86,1
YOR-000086,Ключ Lite-218,Инструменты,ООО 'ИмпортТрейд',894,1.0,2028-06-14,Ряд 10-Стеллаж 39,15656.82,10
EMW-000087,Степлер Max-659,Канцтовары,ООО 'ОптТорг',376,0.1,2028-10-09,Ряд 8-Стеллаж 28,42265.5,2
OPR-000088,Фантастика Max-411,Книги,Компания 'Логистик',29,0.1,2030-01-25,Ряд 12-Стеллаж 1,9111.21,1
BTZ-000089,Кроссовки A-905,Одежда,Торговый дом 'Восточный',543,0.1,2029-01-17,Ряд 12-Стеллаж 20,36093.72,2
BEQ-000090,Корм C-441,Зоотовары,АО 'Торговый дом',278,0.5,2030-08-23,Ряд 14-Стеллаж 18,10817.67,11
CRP-000091,Гантели C-297,Спорттовары,ЗАО 'СкладСервис',315,0.1,2028-06-21,Ряд 1-Стеллаж 14,15105.9,1
IAT-000092,Чай Max-44,Продукты питания,ИП Иванов,389,0.5,2028-07-26,Ряд 18-Стеллаж 43,40319.7,4
LLC-000093,Тетрадь Lite-472,Канцтовары,ИП Петрова,439,1.0,2029-10-14,Ряд 4-Стеллаж 26,1091.79,17
VXC-000094,Джинсы A-523,Одежда,Группа 'Мегаполис',446,1.0,NULL,Ряд 10-Стеллаж 48,17008.69,17
QNF-000095,Степлер B-779,Канцтовары,ООО 'ИмпортТрейд',744,5.0,2029-06-27,Ряд 4-Стеллаж 10,12835.61,60
TBY-000096,Клетка Max-311,Зоотовары,ТД 'Универсал',475,2.0,2029-12-22,Ряд 11-Стеллаж 10,22016.15,44
UPJ-000097,Кроссовки Lite-520,Одежда,Компания 'Логистик',472,0.5,2029-10-09,Ряд 3-Стеллаж 42,43219.29,4
JPY-000098,Детектив A-831,Книги,ООО 'Поставщик+',460,5.0,2029-12-19,Ряд 20-Стеллаж 31,25093.3,40
XIS-000099,Коврик C-397,Спорттовары,ЗАО 'СкладСервис',176,0.1,2030-08-17,Ряд 17-Стеллаж 34,30509.78,1
KIP-000100,Лоток B-342,Зоотовары,ЗАО 'СкладСервис',342,0.1,2030-05-01,Ряд 10-Стеллаж 17,36200.5,2
CRX-000101,Тушь B-687,Косметика,ЗАО 'СкладСервис',715,1.0,2027-01-07,Ряд 3-Стеллаж 20,27968.16,27
SYZ-000102,Велосипед B-232,Спорттовары,АО 'Торговый дом',661,1.0,2030-03-13,Ряд 10-Стеллаж 12,47560.91,17
ZEH-000103,Платье B-167,Одежда,ООО 'ОптТорг',789,0.5,2028-05-17,Ряд 11-Стеллаж 50,30920.67,13
ESQ-000104,Чай B-547,Продукты питания,Торговый дом 'Восточный',448,0.1,2029-06-30,Ряд 15-Стеллаж 40,14282.15,3
GZU-000105,Моющее средство Lite-142,Бытовая химия,ООО 'ИмпортТрейд',694,5.0,2029-09-29,Ряд 13-Стеллаж 33,26396.62,60
WBM-000106,Степлер B-851,Канцтовары,ООО 'ОптТорг',956,0.1,2029-10-05,Ряд 3-Стеллаж 49,8057.6,2
LYF-000107,Фильтр A-327,Автотовары,ООО 'ИмпортТрейд',952,0.1,2030-04-05,Ряд 8-Стеллаж 25,49726.54,1
YVQ-000108,Консервы C-221,Продукты питания,ИП Иванов,39,0.1,2028-12-10,Ряд 16-Стеллаж 29,30786.65,0
VOS-000109,Лыжи Pro-65,Спорттовары,АО 'РегионСнаб',113,2.0,2028-01-04,Ряд 4-Стеллаж 4,11960.05,54
CXP-000110,Монитор Pro-192,Электроника,ЗАО 'СкладСервис',527,1.0,NULL,Ряд 14-Стеллаж 1,30759.74,14
RCZ-000111,Куртка Max-17,Одежда,ООО 'ОптТорг',557,0.5,2030-05-09,Ряд 16-Стеллаж 3,31801.76,9
JBG-000112,Игрушка Max-476,Зоотовары,ЗАО 'СкладСервис',106,2.0,2028-11-29,Ряд 2-Стеллаж 23,27323.39,54
ZME-000113,Макароны C-528,Продукты питания,АО 'Торговый дом',733,2.0,NULL,Ряд 7-Стеллаж 3,39565.91,16
KVM-000114,Наушники Max-451,Электроника,ЗАО 'СкладСервис',195,0.1,2030-01-09,Ряд 9-Стеллаж 8,39977.15,2
XKZ-000115,Дворники B-559,Автотовары,Торговый дом 'Восточный',509,0.5,NULL,Ряд 3-Стеллаж 47,21253.76,10
HCI-000116,Тушь Lite-446,Косметика,Компания 'Логистик',456,1.0,NULL,Ряд 15-Стеллаж 23,22384.13,30
HZY-000117,Платье A-130,Одежда,ЗАО 'СкладСервис',652,0.5,2029-01-22,Ряд 1-Стеллаж 10,42441.03,14
BUJ-000118,Отвертка Lite-376,Инструменты,ИП Петрова,33,1.0,2030-03-30,Ряд 12-Стеллаж 29,38166.07,25
KQG-000119,Джинсы Lite-293,Одежда,ООО 'Поставщик+',753,0.1,2028-10-28,Ряд 9-Стеллаж 50,13051.47,2
SZF-000120,Кофе Lite-298,Продукты питания,АО 'Торговый дом',462,0.1,2028-08-27,Ряд 11-Стеллаж 43,17403.89,0
XWS-000121,Роман C-568,Книги,ЗАО 'СкладСервис',178,2.0,NULL,Ряд 7-Стеллаж 9,11874.97,44
OMZ-000122,Кофе A-129,Продукты питания,ИП Петрова,905,0.1,2028-04-12,Ряд 16-Стеллаж 34,20569.22,2
ZQL-000123,Корм Lite-157,Зоотовары,ООО 'ОптТорг',352,0.1,2029-03-08,Ряд 5-Стеллаж 28,25168.05,0
HEY-000124,Мыло B-641,Бытовая химия,ООО 'ИмпортТрейд',970,5.0,2027-05-21,Ряд 9-Стеллаж 13,31771.1,120
HNN-000125,Кофе A-846,Продукты питания,ИП Петрова,964,1.0,2027-02-09,Ряд 20-Стеллаж 47,45104.94,17
WCY-000126,Посуда Pro-251,Товары для дома,Компания 'Логистик',666,0.1,2028-05-02,Ряд 16-Стеллаж 41,27301.6,2
URH-000127,Куртка Max-882,Одежда,Торговый дом 'Восточный',61,0.1,2029-04-22,Ряд 11-Стеллаж 39,7226.25,2
IKT-000128,Коврик Pro-885,Спорттовары,ООО 'ОптТорг',108,0.5,NULL,Ряд 15-Стеллаж 16,7086.84,4
PGW-000129,Чай C-510,Продукты питания,ООО 'ИмпортТрейд',956,1.0,NULL,Ряд 6-Стеллаж 32,49798.67,21
AYN-000130,Стиральный порошок A-442,Бытовая химия,Группа 'Мегаполис',597,0.5,NULL,Ряд 20-Стеллаж 42,33642.4,8
DGJ-000131,Пила Lite-287,Инструменты,ООО 'ИмпортТрейд',46,0.5,2030-03-13,Ряд 18-Стеллаж 19,3722.91,11
VQP-000132,Кофе A-47,Продукты питания,АО 'Торговый дом',403,0.5,2030-03-19,Ряд 5-Стеллаж 13,30143.02,9
BSU-000133,Коврик Lite-345,Спорттовары,ТД 'Универсал',152,1.0,NULL,Ряд 20-Стеллаж 21,8166.98,26
NNM-000134,Подушка Lite-486,Товары для дома,Компания 'Логистик',486,2.0,2028-10-11,Ряд 14-Стеллаж 38,15418.51,60
GRZ-000135,Одеяло A-587,Товары для дома,ИП Петрова,233,1.0,2031-02-07,Ряд 20-Стеллаж 50,42066.3,11
YCA-000136,Ручка Max-142,Канцтовары,АО 'РегионСнаб',155,0.5,2028-04-25,Ряд 17-Стеллаж 50,30593.33,11
NOZ-000137,Шина Lite-496,Автотовары,ООО 'ОптТорг',385,0.5,2026-10-30,Ряд 18-Стеллаж 22,27336.35,14
EGO-000138,Мыло C-125,Бытовая химия,Компания 'Логистик',789,0.1,2029-02-05,Ряд 16-Стеллаж 21,24016.18,2
OOX-000139,Дрель Pro-672,Инструменты,ООО 'ИмпортТрейд',977,2.0,2026-08-04,Ряд 2-Стеллаж 19,47767.92,18
GMF-000140,Гантели A-686,Спорттовары,Компания 'Логистик',955,1.0,2027-07-20,Ряд 4-Стеллаж 40,37057.5,14
XFG-000141,Платье Max-958,Одежда,АО 'РегионСнаб',338,1.0,2028-12-07,Ряд 1-Стеллаж 36,48896.64,12
WMQ-000142,Духи Pro-904,Косметика,ООО 'ИмпортТрейд',292,1.0,2029-06-19,Ряд 18-Стеллаж 48,36169.73,8
VYA-000143,Дрель C-466,Инструменты,ТД 'Универсал',190,5.0,2027-04-09,Ряд 1-Стеллаж 20,28419.7,50
ZOM-000144,Макароны C-582,Продукты питания,ООО 'ОптТорг',479,0.1,2030-09-26,Ряд 9-Стеллаж 46,9350.64,3
RFP-000145,Поводок B-7,Зоотовары,АО 'РегионСнаб',846,0.5,NULL,Ряд 4-Стеллаж 12,49085.18,11
GGT-000146,Ручка Pro-315,Канцтовары,Компания 'Логистик',596,1.0,NULL,Ряд 12-Стеллаж 45,11853.31,28
ERY-000147,Детектив B-466,Книги,Компания 'Логистик',706,0.1,2028-03-12,Ряд 20-Стеллаж 15,10995.47,1
TPK-000148,Коврик A-940,Спорттовары,ТД 'Универсал',775,0.5,2029-07-20,Ряд 20-Стеллаж 6,26299.06,11
OBO-000149,Лыжи Pro-94,Спорттовары,Группа 'Мегаполис',586,0.5,2026-08-23,Ряд 17-Стеллаж 29,5856.19,6
XLB-000150,Крупа Lite-75,Продукты питания,ООО 'ОптТорг',425,0.5,2029-11-22,Ряд 1-Стеллаж 26,12760.14,3
BIB-000151,Наушники C-913,Электроника,АО 'Торговый дом',956,0.5,2028-04-23,Ряд 6-Стеллаж 50,6814.67,13
JWX-000152,Пила Lite-131,Инструменты,АО 'Торговый дом',699,5.0,NULL,Ряд 12-Стеллаж 8,8964.76,120
SFA-000153,Планшет B-960,Электроника,Компания 'Логистик',474,1.0,2030-04-16,Ряд 8-Стеллаж 16,23058.23,11
WTA-000154,Лоток Max-721,Зоотовары,АО 'РегионСнаб',629,2.0,NULL,Ряд 3-Стеллаж 7,29717.51,42
WGB-000155,Дворники C-592,Автотовары,Группа 'Мегаполис',552,0.1,NULL,Ряд 10-Стеллаж 15,40798.52,3
PRI-000156,Помада Lite-508,Косметика,ИП Иванов,676,0.5,2028-07-03,Ряд 18-Стеллаж 38,43991.71,6
BIQ-000157,Отвертка B-308,Инструменты,ООО 'ОптТорг',326,1.0,NULL,Ряд 13-Стеллаж 12,37733.08,22
WDM-000158,Смартфон Pro-868,Электроника,ООО 'ОптТорг',422,5.0,2030-05-05,Ряд 8-Стеллаж 17,10206.67,135
JNV-000159,Монитор B-491,Электроника,Компания 'Логистик',386,1.0,NULL,Ряд 3-Стеллаж 13,40242.3,25
FXH-000160,Ноутбук Pro-938,Электроника,Группа 'Мегаполис',959,0.1,NULL,Ряд 16-Стеллаж 16,34796.53,2
GIH-000161,Аккумулятор C-937,Автотовары,ООО 'ОптТорг',664,0.5,2028-03-04,Ряд 17-Стеллаж 32,23326.9,15
FIB-000162,Шампунь Lite-854,Бытовая химия,Торговый дом 'Восточный',149,0.1,2030-07-04,Ряд 10-Стеллаж 10,9849.78,1
GOY-000163,Тетрадь B-738,Канцтовары,Компания 'Логистик',781,2.0,2030-11-30,Ряд 15-Стеллаж 11,36651.97,36
OEX-000164,Игрушка A-725,Зоотовары,ООО 'Поставщик+',536,0.1,2028-06-08,Ряд 1-Стеллаж 27,6917.7,2
DFL-000165,Смартфон A-543,Электроника,ИП Петрова,653,1.0,2030-11-25,Ряд 1-Стеллаж 1,26634.01,20
SNH-000166,Лыжи Lite-259,Спорттовары,Торговый дом 'Восточный',690,0.5,2026-05-02,Ряд 4-Стеллаж 34,7487.43,6
VGK-000167,Ручка A-416,Канцтовары,АО 'РегионСнаб',470,1.0,NULL,Ряд 3-Стеллаж 42,49584.15,27
JOB-000168,Ноутбук B-923,Электроника,Торговый дом 'Восточный',175,0.1,2030-01-08,Ряд 19-Стеллаж 7,44744.82,0
WXM-000169,Монитор B-771,Электроника,АО 'Торговый дом',700,5.0,2028-05-07,Ряд 6-Стеллаж 21,832.12,65
VVY-000170,Крем Lite-764,Косметика,ИП Иванов,577,0.1,2030-01-09,Ряд 13-Стеллаж 49,37000.27,2
ZBL-000171,Платье B-365,Одежда,ООО 'ИмпортТрейд',619,2.0,2029-12-29,Ряд 1-Стеллаж 41,13702.69,42
OJE-000172,Одеяло Pro-729,Товары для дома,ЗАО 'СкладСервис',389,0.1,NULL,Ряд 8-Стеллаж 46,3721.66,1
UEK-000173,Ручка B-442,Канцтовары,АО 'Торговый дом',93,0.1,2028-05-30,Ряд 12-Стеллаж 49,13524.83,1
LOK-000174,Смартфон Max-923,Электроника,АО 'Торговый дом',362,1.0,2029-12-25,Ряд 13-Стеллаж 1,14627.78,19
OZG-000175,Гантели Pro-283,Спорттовары,ИП Иванов,701,0.5,2026-07-24,Ряд 10-Стеллаж 18,24681.54,4
KMB-000176,Тушь Lite-390,Косметика,Группа 'Мегаполис',738,1.0,2030-09-24,Ряд 4-Стеллаж 9,15267.67,19
UII-000177,Поводок C-753,Зоотовары,ИП Петрова,139,0.5,2029-04-16,Ряд 16-Стеллаж 21,8922.98,9
SMO-000178,Стиральный порошок Max-473,Бытовая химия,ООО 'ИмпортТрейд',385,0.1,2029-04-14,Ряд 19-Стеллаж 35,9037.36,2
YFU-000179,Детектив Pro-76,Книги,АО 'Торговый дом',838,2.0,2028-12-11,Ряд 10-Стеллаж 16,12671.45,22
LPP-000180,Лыжи Max-937,Спорттовары,ООО 'ОптТорг',945,5.0,2028-05-15,Ряд 12-Стеллаж 45,44780.3,120
CTR-000181,Бумага B-523,Канцтовары,ИП Иванов,662,1.0,2030-05-28,Ряд 11-Стеллаж 28,5341.93,10
TOR-000182,Стиральный порошок C-426,Бытовая химия,ТД 'Универсал',383,0.5,2030-12-20,Ряд 5-Стеллаж 23,49885.25,11
XCV-000183,Детектив C-69,Книги,ИП Иванов,356,0.5,2031-02-01,Ряд 16-Стеллаж 23,23834.32,10
HVC-000184,Степлер Pro-982,Канцтовары,ЗАО 'СкладСервис',111,1.0,2026-07-11,Ряд 17-Стеллаж 12,27617.92,17
MUQ-000185,Крупа B-286,Продукты питания,ЗАО 'СкладСервис',673,0.5,2029-04-09,Ряд 15-Стеллаж 38,21506.16,3
TVB-000186,Кроссовки Max-321,Одежда,ООО 'ОптТорг',191,0.5,2028-06-12,Ряд 4-Стеллаж 17,33551.54,11
PPP-000187,Тетрадь C-121,Канцтовары,ООО 'ИмпортТрейд',865,0.5,2027-02-16,Ряд 10-Стеллаж 40,29528.91,14
GDJ-000188,Кофе Max-942,Продукты питания,ООО 'ОптТорг',397,0.5,2026-12-28,Ряд 13-Стеллаж 28,9328.4,13
QZO-000189,Дворники Lite-669,Автотовары,Компания 'Логистик',143,0.1,2030-03-06,Ряд 1-Стеллаж 32,6869.91,1
MRK-000190,Шина B-800,Автотовары,ТД 'Универсал',171,0.1,2029-05-26,Ряд 10-Стеллаж 3,13778.9,2
LTT-000191,Велосипед Lite-224,Спорттовары,ООО 'ОптТорг',115,1.0,2028-09-08,Ряд 12-Стеллаж 35,41139.42,8
ZCV-000192,Моющее средство B-831,Бытовая химия,Компания 'Логистик',895,10.0,NULL,Ряд 3-Стеллаж 29,43271.26,100
TRW-000193,Посуда Lite-552,Товары для дома,ЗАО 'СкладСервис',438,0.1,2026-06-22,Ряд 7-Стеллаж 4,28525.21,2
EZH-000194,Одеяло Max-887,Товары для дома,Компания 'Логистик',975,2.0,2028-12-03,Ряд 14-Стеллаж 4,49624.69,54
DDI-000195,Шампунь Lite-768,Бытовая химия,ЗАО 'СкладСервис',402,0.5,2030-06-27,Ряд 13-Стеллаж 29,3822.04,4
HYJ-000196,Масло Lite-408,Автотовары,ООО 'ИмпортТрейд',595,0.1,NULL,Ряд 15-Стеллаж 41,33223.98,1
FLF-000197,Крем Max-803,Косметика,ООО 'ИмпортТрейд',848,0.1,2030-11-19,Ряд 11-Стеллаж 44,38124.59,0
VAY-000198,Консервы Max-370,Продукты питания,ТД 'Универсал',467,0.1,NULL,Ряд 5-Стеллаж 42,15128.18,1
GJX-000199,Консервы B-489,Продукты питания,ООО 'Поставщик+',405,1.0,2029-06-23,Ряд 14-Стеллаж 42,4605.4,10
CPN-000200,Масло Max-826,Автотовары,ООО 'Поставщик+',8,1.0,2030-07-13,Ряд 5-Стеллаж 31,3587.87,19
